site,timepoints_available,available_timepoints
Black Point,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Botany Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Brewers Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Buck Island STT,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Buck Island STX,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Buck Island STX Deep,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Cane Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Cane Bay Deep,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Castle,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Coculus Rock,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
College Shoal East,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Coral Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Eagle Ray,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Fish Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Flat Cay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Grammanik Tiger FSA,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Great Pond,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Hind Bank East FSA,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Jacks Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Kings Corner,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Lang Bank EEMP,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Lang Bank Red Hind FSA,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Magens Bay,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Meri Shoal,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Mutton Snapper FSA,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Salt River Deep,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Salt River West,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Savana,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Seahorse Cottage Shoal,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
South Capella,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
South Water,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
Sprat Hole,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
St James,4,"2023_Annual, 2024_Annual, 2024_PBL, 2025_PBL"
