site,year,period,replicate,ncolonies,prev_oldmortality,prev_recentmortality,prev_anymortality,prev_nomortality
Black Point,2022,Annual,3.5,122,0.6635920002256633,0.27185410848777186,0.935446108713435,99.06455389128656
Black Point,2023,Annual,3.5,93.33333333333333,10.041728366196457,2.13887914685787,11.26875340971085,88.73124659028915
Black Point,2024,Annual,3.5,54.833333333333336,10.995458163599752,1.5423514538558782,12.390316992086902,87.6096830079131
Black Point,2024,PBL,3.5,54.16666666666667,3.829513025867625,0,3.829513025867625,96.17048697413236
Black Point,2025,PBL,3.5,50,33.21467475879242,0.8476307189542484,33.73550809212575,66.26449190787424
Botany Bay,2022,Annual,3.5,24.666666666666668,0,0,0,100
Botany Bay,2023,Annual,3.5,31.333333333333332,5.182672919887545,0,5.182672919887545,94.81732708011245
Botany Bay,2024,Annual,3.5,30.833333333333332,12.734204793028317,2.5735294117647065,13.224400871459684,86.77559912854032
Botany Bay,2024,PBL,3.5,21.5,1.631393298059965,0,1.631393298059965,98.36860670194004
Botany Bay,2025,PBL,3.5,21.5,14.508547008547,0,14.508547008547,85.491452991453
Brewers Bay,2022,Annual,3.5,22.833333333333332,18.525953213453217,0,18.525953213453217,81.47404678654678
Brewers Bay,2023,Annual,3.5,21.5,8.23237761923991,1.60183066361556,9.83420828285548,90.16579171714453
Brewers Bay,2024,Annual,3.5,20.333333333333332,1.1123470522803116,0,1.1123470522803116,98.88765294771969
Brewers Bay,2024,PBL,3.5,17.166666666666668,5.681818181818182,0.7575757575757583,6.439393939393933,93.56060606060606
Brewers Bay,2025,PBL,3.5,17.666666666666668,46.32936507936507,1.0416666666666667,46.32936507936507,53.67063492063493
Buck Island STT,2022,Annual,3.5,34.166666666666664,1.1627906976744184,0,1.1627906976744184,98.83720930232559
Buck Island STT,2023,Annual,3.5,42.666666666666664,3.7606837606837598,0.20833333333333334,3.9690170940170932,96.0309829059829
Buck Island STT,2024,Annual,3.5,41.333333333333336,7.2597777368453436,0.27777777777777835,7.537555514623127,92.46244448537686
Buck Island STT,2024,PBL,3.5,39.833333333333336,0.806451612903225,2.2132616487455197,3.0197132616487465,96.98028673835125
Buck Island STT,2025,PBL,3.5,26,11.859943977591033,1.3137254901960784,12.68347338935575,87.31652661064425
Buck Island STX,2022,Annual,3.5,12.833333333333334,1.85185185185185,0,1.85185185185185,98.14814814814815
Buck Island STX,2023,Annual,3.5,14.666666666666666,3.8461538461538503,1.5151515151515151,5.361305361305365,94.63869463869463
Buck Island STX,2024,Annual,3.5,11.166666666666666,6.500906500906497,0,6.500906500906497,93.4990934990935
