site,year,max_dhw,mean_dhw,total_dhw_accumulation,max_weekly_temp,mean_weekly_temp,min_weekly_temp,temp_range,temp_sd,temp_cv,weeks_above_29,weeks_above_30,weeks_above_31,weeks_with_dhw,weeks_dhw_above_4,weeks_dhw_above_8,total_weeks,data_completeness,dhw_stress_category,temp_var_category,mean_weekly_change,max_weekly_change,weeks_increasing,weeks_decreasing,longest_hot_streak,longest_extreme_streak,cv_temperature
Black Point,2023,18.7954352355072,4.9520182013945675,262.45696467391207,30.6296956521739,28.587150704129066,25.9694322916667,4.6602633605072015,1.549423166410273,0.05419998594636007,25,12,0,24,21,16,53,1.0192307692307692,Moderate Stress,Extreme Variability,0.25707813806438856,0.9038385416666976,27,25,25,9,0.05419998594636007
Black Point,2024,21.351953125,7.452563974056613,394.9858906250003,31.0934427083333,29.150488502358495,27.2060520833333,3.8873906249999983,1.2319053720220952,0.04226019649456045,31,18,1,29,27,24,53,1.0192307692307692,High Stress,Moderate Variability,0.1991849959935922,0.6201302083333005,27,25,31,13,0.04226019649456045
Botany Bay,2023,18.9528676470588,4.901595726970027,259.78457352941143,30.3707794117647,28.31486431742508,25.9777352941176,4.393044117647101,1.4372170413064727,0.0507583940786184,23,8,0,23,20,16,53,1.0192307692307692,Moderate Stress,High Variability,0.1997569287330306,0.742647058823497,25,27,23,8,0.0507583940786184
Botany Bay,2024,22.0253333333333,6.0565640723270295,320.9978958333326,30.8020625,28.808143289863118,26.7932573529412,4.008805147058801,1.2204960819072124,0.04236635695771047,27,9,0,28,21,18,53,1.0192307692307692,Extreme Stress,Moderate Variability,0.19868502545249422,0.5455416666667006,27,25,26,8,0.04236635695771047
Brewers Bay,2023,16.403605882353,3.873174778024423,205.27826323529436,30.6259779411765,28.55542513873474,25.9151029411765,4.7108750000000015,1.551713904328569,0.05434042381752905,25,11,0,22,18,13,53,1.0192307692307692,Low Stress,Extreme Variability,0.2614196832579097,0.7902573529411008,26,26,25,9,0.05434042381752905
Brewers Bay,2024,20.7417083333334,8.060698143115966,370.7921145833344,31.1653541666667,29.400506342653923,27.1590495049505,4.0063046617162,1.1971937961944497,0.04072017611674852,31,18,1,27,27,22,46,0.8846153846153846,High Stress,Moderate Variability,0.21967962167541136,0.8003747374736996,19,26,31,13,0.04072017611674852
Buck Island STT,2023,15.5603150326797,3.8645971328153705,204.82364803921467,30.4566470588235,28.47123693735356,26.1200661764706,4.336580882352898,1.4750993596128,0.051810160649448496,24,10,0,22,18,13,53,1.0192307692307692,Low Stress,Extreme Variability,0.22314328494217694,0.7813823529412005,27,25,24,9,0.051810160649448496
Buck Island STT,2024,20.0954895833333,6.588005306603757,349.16428124999914,30.9118854166667,29.04344902654458,27.1946029411765,3.717282475490201,1.2007886276501682,0.04134456023293564,29,14,0,29,26,22,53,1.0192307692307692,High Stress,Moderate Variability,0.16414339413650383,0.8395104166666023,31,21,29,10,0.04134456023293564
Buck Island STX Deep,2023,5.2900497606019,4.463358584131313,35.7068686730505,29.8808953488372,28.9332258891929,28.0522022058824,1.8286931429548012,0.6530844983406299,0.02257212869528555,5,0,0,8,6,0,8,0.15384615384615385,Low Stress,Low Variability,0.2612418775649716,0.5549632352940996,0,7,5,0,0.02257212869528555
Buck Island STX Deep,2024,26.4101727941177,10.6238514786811,563.0641283700984,30.7397536764706,28.953685089483912,26.8225220588235,3.9172316176471007,1.1622355980212407,0.04014119772420158,29,9,0,32,29,27,53,1.0192307692307692,Extreme Stress,Low Variability,0.17507236283936706,0.5518088235293988,31,21,29,9,0.04014119772420158
