site,max_dhw_2023,max_dhw_2024,total_dhw_accumulation_2023,total_dhw_accumulation_2024,weeks_with_dhw_2023,weeks_with_dhw_2024,temp_sd_2023,temp_sd_2024,cumulative_max_dhw,total_stress_2years,consecutive_stress_weeks,mean_temp_variability,dhw_change_2023_to_2024,stress_trend
Black Point,18.7954352355072,21.351953125,262.45696467391207,394.9858906250003,24,29,1.549423166410273,1.2319053720220952,21.351953125,657.4428552989124,53,1.3906642692161841,2.5565178894928025,Escalating
Botany Bay,18.9528676470588,22.0253333333333,259.78457352941143,320.9978958333326,23,28,1.4372170413064727,1.2204960819072124,22.0253333333333,580.782469362744,51,1.3288565616068424,3.0724656862745015,Escalating
Brewers Bay,16.403605882353,20.7417083333334,205.27826323529436,370.7921145833344,22,27,1.551713904328569,1.1971937961944497,20.7417083333334,576.0703778186288,49,1.3744538502615093,4.338102450980401,Escalating
Buck Island STT,15.5603150326797,20.0954895833333,204.82364803921467,349.16428124999914,22,29,1.4750993596128,1.2007886276501682,20.0954895833333,553.9879292892138,51,1.337943993631484,4.5351745506536005,Escalating
Buck Island STX Deep,5.2900497606019,26.4101727941177,35.7068686730505,563.0641283700984,8,32,0.6530844983406299,1.1622355980212407,26.4101727941177,598.7709970431489,40,0.9076600481809353,21.1201230335158,Escalating
Cane Bay,17.7278051470588,20.5389687499998,217.84670220588248,328.1628854166642,21,29,1.4501196611904563,1.1985383889353916,20.5389687499998,546.0095876225466,50,1.3243290250629238,2.8111636029410008,Escalating
Cane Bay Deep,19.0488639705883,23.8875260416667,293.54267647058924,489.71362571271794,25,31,1.3703882902964244,1.1263528607606854,23.8875260416667,783.2563021833072,56,1.248370575528555,4.838662071078399,Escalating
Castle,18.6817132352941,21.6446354166668,253.2639485294114,399.39822916666805,22,30,1.4891082388970953,1.2111965687786828,21.6446354166668,652.6621776960794,52,1.350152403837889,2.9629221813727007,Escalating
Coculus Rock,18.6060142156863,21.8528645833332,259.53361544117644,408.0407135416654,24,31,1.581141616643458,1.2631571144444556,21.8528645833332,667.5743289828418,55,1.4221493655439568,3.2468503676469,Escalating
College Shoal East,17.5813676470589,16.6557604166666,206.45273529411847,204.79751041666648,21,25,1.2690168357947764,0.9725474272470879,17.5813676470589,411.25024571078495,46,1.120782131520932,-0.925607230392302,Stable
Coral Bay,22.6133529411764,25.691125,434.2390955882356,526.6081770833322,30,32,1.6561318422582616,1.3327389549335313,25.691125,960.8472726715678,62,1.4944353985958965,3.077772058823598,Escalating
Eagle Ray,18.9731250000001,21.8666770833333,267.7869411764706,413.2245937499991,23,30,1.4726989239821158,1.2314016793242981,21.8666770833333,681.0115349264697,53,1.352050301653207,2.8935520833332014,Escalating
Fish Bay,19.5525735294118,21.5304687500001,285.51578676470666,435.04914583333453,26,32,1.592537010786918,1.2385801033719102,21.5304687500001,720.5649325980412,58,1.415558557079414,1.9778952205883016,Stable
