site,period,initial_bleaching,final_bleaching,response_magnitude,recovery_achieved,recovery_proportion,persistence_rate,worsening_achieved,recovery_category,response_direction,recovery_efficiency
Black Point,2023_to_2024_PBL,49.27457264957265,1.25,-48.02457264957265,48.02457264957265,0.974631946401856,1.25,0,Exceptional Recovery,Strong Recovery,Moderate Efficiency
Botany Bay,2023_to_2024_PBL,30.277777777777786,2.5,-27.777777777777786,27.777777777777786,0.9174311926605505,2.5,0,Moderate Recovery,Moderate Recovery,Moderate Efficiency
Brewers Bay,2023_to_2024_PBL,34.083333333333336,0,-34.083333333333336,34.083333333333336,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Buck Island STT,2023_to_2024_PBL,20.48611111111112,18.75,-1.7361111111111214,1.7361111111111214,0.08474576271186486,18.75,0,Minimal Recovery,Moderate Recovery,Low Efficiency
Buck Island STX,2023_to_2024_PBL,56.5,0,-56.5,56.5,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Buck Island STX Deep,2023_to_2024_PBL,0,0,0,0,0,0,0,No Recovery,Stable,No Recovery
Cane Bay,2023_to_2024_PBL,25.833333333333336,3,-22.833333333333336,22.833333333333336,0.8838709677419355,3,0,Moderate Recovery,Moderate Recovery,Moderate Efficiency
Cane Bay Deep,2023_to_2024_PBL,0,9,9,0,0,0,9,No Recovery,Strong Worsening,No Recovery
Castle,2023_to_2024_PBL,45,0,-45,45,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Coculus Rock,2023_to_2024_PBL,80.46469298245614,1.6666666666666667,-78.79802631578947,78.79802631578947,0.979286981595393,1.6666666666666667,0,Exceptional Recovery,Strong Recovery,High Efficiency
College Shoal East,2023_to_2024_PBL,15.416666666666666,0.8333333333333334,-14.583333333333332,14.583333333333332,0.9459459459459459,0.8333333333333334,0,Minimal Recovery,Moderate Recovery,Moderate Efficiency
Coral Bay,2023_to_2024_PBL,40.833333333333336,0,-40.833333333333336,40.833333333333336,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
Eagle Ray,2023_to_2024_PBL,33.33333333333333,16.666666666666664,-16.666666666666664,16.666666666666664,0.5,16.666666666666664,0,Moderate Recovery,Moderate Recovery,Low Efficiency
Fish Bay,2023_to_2024_PBL,40.416666666666664,15,-25.416666666666664,25.416666666666664,0.6288659793814433,15,0,Moderate Recovery,Moderate Recovery,Low Efficiency
Flat Cay,2023_to_2024_PBL,67.17789001122335,31.666666666666664,-35.51122334455669,35.51122334455669,0.5286147471827987,31.666666666666664,0,Strong Recovery,Moderate Recovery,Low Efficiency
Grammanik Tiger FSA,2023_to_2024_PBL,36.777777777777786,6.083333333333333,-30.694444444444454,30.694444444444454,0.8345921450151058,6.083333333333333,0,Strong Recovery,Moderate Recovery,Moderate Efficiency
Great Pond,2023_to_2024_PBL,14.083333333333334,0,-14.083333333333334,14.083333333333334,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Hind Bank East FSA,2023_to_2024_PBL,4.777777777777779,0,-4.777777777777779,4.777777777777779,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Jacks Bay,2023_to_2024_PBL,32.5,0,-32.5,32.5,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Kings Corner,2023_to_2024_PBL,15,0,-15,15,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Lang Bank EEMP,2023_to_2024_PBL,63.333333333333336,10,-53.333333333333336,53.333333333333336,0.8421052631578947,10,0,Exceptional Recovery,Strong Recovery,Moderate Efficiency
Lang Bank Red Hind FSA,2023_to_2024_PBL,17.5,4.166666666666666,-13.333333333333334,13.333333333333334,0.761904761904762,4.166666666666666,0,Minimal Recovery,Moderate Recovery,Moderate Efficiency
Magens Bay,2023_to_2024_PBL,35.766666666666666,0,-35.766666666666666,35.766666666666666,1,0,0,Strong Recovery,Moderate Recovery,High Efficiency
Meri Shoal,2023_to_2024_PBL,26.666666666666664,0,-26.666666666666664,26.666666666666664,1,0,0,Moderate Recovery,Moderate Recovery,High Efficiency
Mutton Snapper FSA,2023_to_2024_PBL,0,0,0,0,0,0,0,No Recovery,Stable,No Recovery
Salt River Deep,2023_to_2024_PBL,15,0,-15,15,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
Salt River West,2023_to_2024_PBL,38,0,-38,38,1,0,0,Strong Recovery,Strong Recovery,High Efficiency
Savana,2023_to_2024_PBL,23.055555555555543,1,-22.055555555555543,22.055555555555543,0.9566265060240964,1,0,Moderate Recovery,Moderate Recovery,Moderate Efficiency
Seahorse Cottage Shoal,2023_to_2024_PBL,55.09587251828631,0,-55.09587251828631,55.09587251828631,1,0,0,Exceptional Recovery,Strong Recovery,High Efficiency
South Capella,2023_to_2024_PBL,15,5,-10,10,0.6666666666666666,5,0,Minimal Recovery,Moderate Recovery,Low Efficiency
South Water,2023_to_2024_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,Minimal Recovery,Moderate Recovery,High Efficiency
