site,period_p1,initial_bleaching_p1,final_bleaching_p1,response_magnitude_p1,recovery_achieved_p1,recovery_proportion_p1,persistence_rate_p1,worsening_achieved_p1,period_p2,initial_bleaching_p2,final_bleaching_p2,response_magnitude_p2,recovery_achieved_p2,recovery_proportion_p2,persistence_rate_p2,worsening_achieved_p2,recovery_change,response_consistency,pattern_classification,recovery_trajectory,max_dhw_2023,max_dhw_2024,temp_sd_2023,temp_sd_2024,total_dhw_accumulation_2023,total_dhw_accumulation_2024,cumulative_dhw,thermal_variability,stress_escalation
Black Point,2023_to_2024_PBL,49.27457264957265,1.25,-48.02457264957265,48.02457264957265,0.974631946401856,1.25,0,2024_to_2025_PBL,61.34920634920635,9.166666666666666,-52.182539682539684,52.182539682539684,0.8505821474773609,9.166666666666666,0,4.157967032967036,4.157967032967036,Consistent Strong Recovery,Stable Recovery Rate,18.7954352355072,21.351953125,1.549423166410273,1.2319053720220952,262.45696467391207,394.9858906250003,40.1473883605072,2.7813285384323683,2.5565178894928025
Botany Bay,2023_to_2024_PBL,30.277777777777786,2.5,-27.777777777777786,27.777777777777786,0.9174311926605505,2.5,0,2024_to_2025_PBL,53.61904761904762,21,-32.61904761904762,32.61904761904762,0.6083481349911191,21,0,4.841269841269835,4.841269841269835,Consistent Moderate Recovery,Stable Recovery Rate,18.9528676470588,22.0253333333333,1.4372170413064729,1.2204960819072124,259.78457352941143,320.9978958333326,40.9782009803921,2.6577131232136852,3.0724656862745015
Brewers Bay,2023_to_2024_PBL,34.083333333333336,0,-34.083333333333336,34.083333333333336,1,0,0,2024_to_2025_PBL,16.666666666666664,16.666666666666668,3.552713678800501e-15,0,0,16.666666666666664,3.552713678800501e-15,-34.083333333333336,34.083333333333336,Declining Recovery Capacity,Decelerating Recovery,16.403605882353,20.7417083333334,1.551713904328569,1.1971937961944497,205.27826323529436,370.7921145833344,37.1453142156864,2.7489077005230187,4.338102450980401
Buck Island STT,2023_to_2024_PBL,20.48611111111112,18.75,-1.7361111111111214,1.7361111111111214,0.08474576271186486,18.75,0,2024_to_2025_PBL,33.84285714285715,16.666666666666664,-17.176190476190484,17.176190476190484,0.5075277895033068,16.666666666666664,0,15.440079365079363,15.440079365079363,Variable Response,Accelerating Recovery,15.5603150326797,20.0954895833333,1.4750993596128,1.2007886276501682,204.82364803921467,349.16428124999914,35.655804616013,2.675887987262968,4.5351745506536005
Buck Island STX,2023_to_2024_PBL,56.5,0,-56.5,56.5,1,0,0,2024_to_2025_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,-54.833333333333336,54.833333333333336,Declining Recovery Capacity,Decelerating Recovery,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buck Island STX Deep,2023_to_2024_PBL,0,0,0,0,0,0,0,2024_to_2025_PBL,0.8333333333333334,0,-0.8333333333333334,0.8333333333333334,1,0,0,0.8333333333333334,0.8333333333333334,Consistently Stable,Stable Recovery Rate,5.2900497606019,26.4101727941177,0.6530844983406299,1.1622355980212409,35.7068686730505,563.0641283700984,31.7002225547196,1.8153200963618707,21.1201230335158
Cane Bay,2023_to_2024_PBL,25.833333333333336,3,-22.833333333333336,22.833333333333336,0.8838709677419355,3,0,2024_to_2025_PBL,47.291666666666664,2.5,-44.791666666666664,44.791666666666664,0.947136563876652,2.5,0,21.95833333333333,21.95833333333333,Consistent Moderate Recovery,Accelerating Recovery,17.7278051470588,20.5389687499998,1.4501196611904563,1.1985383889353916,217.84670220588248,328.1628854166642,38.2667738970586,2.6486580501258477,2.8111636029410008
Cane Bay Deep,2023_to_2024_PBL,0,9,9,0,0,0,9,2024_to_2025_PBL,0,0,0,0,0,0,0,0,0,Variable Response,Stable Recovery Rate,19.0488639705883,23.8875260416667,1.3703882902964244,1.1263528607606854,293.54267647058924,489.71362571271794,42.936390012255,2.49674115105711,4.838662071078399
Castle,2023_to_2024_PBL,45,0,-45,45,1,0,0,2024_to_2025_PBL,28.333333333333336,0,-28.333333333333336,28.333333333333336,1,0,0,-16.666666666666664,16.666666666666664,Consistent Moderate Recovery,Decelerating Recovery,18.6817132352941,21.6446354166668,1.489108238897095,1.2111965687786828,253.2639485294114,399.3982291666681,40.3263486519609,2.700304807675778,2.9629221813727007
Coculus Rock,2023_to_2024_PBL,80.46469298245614,1.6666666666666667,-78.79802631578947,78.79802631578947,0.979286981595393,1.6666666666666667,0,2024_to_2025_PBL,65.46296296296296,27.79545454545455,-37.667508417508415,37.667508417508415,0.5754018258968754,27.79545454545455,0,-41.130517898281056,41.130517898281056,Consistent Strong Recovery,Decelerating Recovery,18.6060142156863,21.8528645833332,1.581141616643458,1.2631571144444556,259.53361544117644,408.0407135416654,40.4588787990195,2.8442987310879135,3.2468503676469
