site,period_p1,initial_bleaching_p1,final_bleaching_p1,response_magnitude_p1,recovery_achieved_p1,recovery_proportion_p1,persistence_rate_p1,worsening_achieved_p1,period_p2,initial_bleaching_p2,final_bleaching_p2,response_magnitude_p2,recovery_achieved_p2,recovery_proportion_p2,persistence_rate_p2,worsening_achieved_p2,recovery_change,response_consistency,pattern_classification,recovery_trajectory,mean_max_dhw,max_max_dhw,mean_temp_variability,total_thermal_weeks,thermal_years_available,temporal_observations,mean_bleaching_extent,max_bleaching_extent,min_bleaching_extent,bleaching_range,bleaching_variability,recovery_performance,thermal_stress_level,impact_severity,temporal_variability
Black Point,2023_to_2024_PBL,49.27457264957265,1.25,-48.02457264957265,48.02457264957265,0.974631946401856,1.25,0,2024_to_2025_PBL,61.34920634920635,9.166666666666666,-52.18253968253968,52.18253968253968,0.8505821474773609,9.166666666666666,0,4.157967032967036,Highly Consistent,Consistent Strong Recovery,Stable Recovery Rate,20.0736941802536,21.351953125,1.3906642692161841,53,2,5,24.931739926739926,61.34920634920635,1.25,60.09920634920635,28.206525797052212,Exceptional Recovery,Low Thermal Stress,NA,High Variability
Botany Bay,2023_to_2024_PBL,30.277777777777786,2.5,-27.777777777777786,27.777777777777786,0.9174311926605504,2.5,0,2024_to_2025_PBL,53.61904761904762,21,-32.61904761904762,32.61904761904762,0.6083481349911191,21,0,4.841269841269835,Highly Consistent,Consistent Moderate Recovery,Stable Recovery Rate,20.48910049019605,22.0253333333333,1.3288565616068426,51,2,5,21.912698412698415,53.61904761904762,2.166666666666667,51.452380952380956,21.464265539200596,Strong Recovery,Moderate Thermal Stress,NA,Moderate Variability
Brewers Bay,2023_to_2024_PBL,34.083333333333336,0,-34.083333333333336,34.083333333333336,1,0,0,2024_to_2025_PBL,16.666666666666664,16.666666666666668,3.552713678800501e-15,0,0,16.666666666666664,3.552713678800501e-15,-34.083333333333336,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,18.5726571078432,20.7417083333334,1.3744538502615093,49,2,5,14.811111111111112,34.083333333333336,0,34.083333333333336,12.888550642113373,No Recovery,Low Thermal Stress,NA,Low Variability
Buck Island STT,2023_to_2024_PBL,20.48611111111112,18.75,-1.7361111111111214,1.7361111111111214,0.08474576271186486,18.75,0,2024_to_2025_PBL,33.84285714285715,16.666666666666664,-17.176190476190484,17.176190476190484,0.5075277895033068,16.666666666666664,0,15.440079365079365,Improving Performance,Variable Response,Accelerating Recovery,17.8279023080065,20.0954895833333,1.337943993631484,51,2,5,18.68246031746032,33.84285714285715,3.6666666666666665,30.17619047619048,10.754450621759485,Moderate Recovery,Minimal Thermal Stress,NA,Low Variability
Buck Island STX,2023_to_2024_PBL,56.5,0,-56.5,56.5,1,0,0,2024_to_2025_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,-54.833333333333336,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,NA,NA,NA,NA,NA,5,11.9,56.5,0,56.5,24.943714416439445,Minimal Recovery,Minimal Thermal Stress,NA,High Variability
Buck Island STX Deep,2023_to_2024_PBL,0,0,0,0,0,0,0,2024_to_2025_PBL,0.8333333333333334,0,-0.8333333333333334,0.8333333333333334,1,0,0,0.8333333333333334,Highly Consistent,Consistently Stable,Stable Recovery Rate,15.850111277359801,26.4101727941177,0.9076600481809354,40,2,5,1.3777777777777778,6.055555555555555,0,6.055555555555555,2.6397367059127714,Minimal Recovery,Minimal Thermal Stress,NA,Minimal Variability
Cane Bay,2023_to_2024_PBL,25.833333333333336,3,-22.833333333333336,22.833333333333336,0.8838709677419355,3,0,2024_to_2025_PBL,47.291666666666664,2.5,-44.791666666666664,44.791666666666664,0.947136563876652,2.5,0,21.95833333333333,Improving Performance,Consistent Moderate Recovery,Accelerating Recovery,19.1333869485293,20.5389687499998,1.3243290250629238,50,2,5,16.225,47.291666666666664,2.5,44.791666666666664,20.056854951750424,Exceptional Recovery,Low Thermal Stress,NA,Moderate Variability
Cane Bay Deep,2023_to_2024_PBL,0,9,9,0,0,0,9,2024_to_2025_PBL,0,0,0,0,0,0,0,0,Highly Consistent,Variable Response,Stable Recovery Rate,21.4681950061275,23.8875260416667,1.248370575528555,56,2,5,2.083333333333333,9,0,9,3.9148932155154488,No Recovery,High Thermal Stress,NA,Minimal Variability
Castle,2023_to_2024_PBL,45,0,-45,45,1,0,0,2024_to_2025_PBL,28.333333333333336,0,-28.333333333333336,28.333333333333336,1,0,0,-16.666666666666664,Declining Performance,Consistent Moderate Recovery,Decelerating Recovery,20.16317432598045,21.6446354166668,1.350152403837889,52,2,5,15.15,45,0,45,20.53049899269107,Strong Recovery,Moderate Thermal Stress,NA,Moderate Variability
Coculus Rock,2023_to_2024_PBL,80.46469298245614,1.6666666666666667,-78.79802631578947,78.79802631578947,0.979286981595393,1.6666666666666667,0,2024_to_2025_PBL,65.46296296296296,27.79545454545455,-37.667508417508415,37.667508417508415,0.5754018258968754,27.79545454545455,0,-41.130517898281056,Declining Performance,Consistent Strong Recovery,Decelerating Recovery,20.22943939950975,21.8528645833332,1.4221493655439568,55,2,5,35.411288764841395,80.46469298245614,1.6666666666666663,78.79802631578947,36.291570390588845,Exceptional Recovery,Moderate Thermal Stress,NA,High Variability
