site,baseline_2024_annual,outcome_2025_pbl,predictor_2023_annual,persistence_2024_pbl,dhw_2023,temp_sd_2023,temp_range_2023,dhw_2024,temp_sd_2024,temp_range_2024,response_magnitude,recovery_achieved,proportional_recovery,cumulative_dhw,max_annual_dhw,temp_instability,impact_2023_to_2024,bleaching_persistence,response_pattern,weeks_above_30,total_dhw_accumulation,cv_temperature,recovery_category,thermal_stress_level,previous_impact_level,vulnerability_score
Great Pond,81.41666666666667,0,14.083333333333334,0,17.2090147058825,1.5546868339345872,4.7337647058824,23.1001354166666,1.2591555138759778,4.220566789215699,-81.41666666666667,81.41666666666667,1,40.3091501225491,23.1001354166666,2.813842347810565,-14.083333333333334,0,Consistent_Recovery,25,457.8513958333324,0.04276090221538964,Exceptional_Recovery,Extreme_Stress,Low_2023_Impact,0.8221247070065884
Sprat Hole,64.16666666666667,0,33.33333333333333,13.333333333333334,18.3977941176469,1.4473839590316795,4.4359632352941,21.2626145833334,1.1732321410231907,3.8705857843138,-64.16666666666667,64.16666666666667,1,39.6604087009803,21.2626145833334,2.6206161000548702,-19.999999999999993,0.4000000000000001,Consistent_Recovery,16,396.6520104166693,0.04015418457833217,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.8402569705136024
Magens Bay,60.63333333333333,8.208333333333334,35.766666666666666,0,18.4003088235294,1.5053253842947103,4.6620882352940995,22.4826666666667,1.2729671779603262,4.345762254901999,-52.425,52.425,0.8646234194612424,40.8829754901961,22.4826666666667,2.7782925622550367,-35.766666666666666,0,Consistent_Recovery,11,290.54055208333443,0.04417524834944493,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.8910425111315444
Black Point,61.34920634920635,9.166666666666666,49.27457264957265,1.25,18.7954352355072,1.549423166410273,4.6602633605072015,21.351953125,1.2319053720220952,3.8873906249999983,-52.18253968253968,52.18253968253968,0.8505821474773609,40.1473883605072,21.351953125,2.7813285384323683,-48.02457264957265,0.02536805359814401,Consistent_Recovery,18,394.9858906250003,0.04226019649456045,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.917009448573452
Salt River West,47.5,0,38,0,14.3500129901959,1.4481930569522878,4.322655882352901,3.3019514705883,1.0072455105963614,2.934616666666699,-47.5,47.5,1,17.6519644607842,14.3500129901959,2.455438567548649,-38,0,Consistent_Recovery,0,6.4565737745099,0.03572610790982566,Exceptional_Recovery,Low_Stress,Moderate_2023_Impact,0.3988542207671186
Cane Bay,47.291666666666664,2.5,25.833333333333336,3,17.7278051470588,1.4501196611904563,4.3668382352942,20.5389687499998,1.1985383889353916,3.8290557598039,-44.791666666666664,44.791666666666664,0.947136563876652,38.2667738970586,20.5389687499998,2.6486580501258477,-22.833333333333336,0.11612903225806452,Consistent_Recovery,14,328.1628854166642,0.04117156879110415,Exceptional_Recovery,Extreme_Stress,Low_2023_Impact,0.7940422490541312
Savana,42.33149509803922,0,23.055555555555543,1,18.7343749999999,1.4002370595900866,4.3088382352942,21.4048645833333,1.1909445608249103,3.7068541666667016,-42.33149509803922,42.33149509803922,1,40.1392395833332,21.4048645833333,2.591181620414997,-22.055555555555543,0.04337349397590363,Consistent_Recovery,10,337.31983333333267,0.04128363033907551,Exceptional_Recovery,Extreme_Stress,Low_2023_Impact,0.8007325040473474
Seahorse Cottage Shoal,40.35218253968253,2.5,55.09587251828631,0,19.3086727941177,1.4889972585289086,4.410996323529503,22.5131510416666,1.204717353273107,3.7294479166665977,-37.85218253968253,37.85218253968253,0.9380454824830976,41.8218238357843,22.5131510416666,2.6937146118020157,-55.09587251828631,0,Consistent_Recovery,14,437.68579687499914,0.04146830824394211,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.9634619185476225
Coculus Rock,65.46296296296296,27.79545454545455,80.46469298245614,1.6666666666666667,18.6060142156863,1.581141616643458,4.8145110294118005,21.8528645833332,1.2631571144444556,3.9902101715685983,-37.667508417508415,37.667508417508415,0.5754018258968754,40.4588787990195,21.8528645833332,2.8442987310879135,-78.79802631578947,0.02071301840460701,Consistent_Recovery,23,408.0407135416654,0.04306814061897874,Exceptional_Recovery,Extreme_Stress,Severe_2023_Impact,1.058506360707843
Eagle Ray,33.33333333333333,0,33.33333333333333,16.666666666666664,18.9731250000001,1.4726989239821158,4.353566176470601,21.8666770833333,1.231401679324298,3.8637138480392,-33.33333333333333,33.33333333333333,1,40.83980208333339,21.8666770833333,2.7041006033064137,-16.666666666666664,0.5,Consistent_Recovery,16,413.2245937499991,0.04235449469287379,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.8609448904653828
