site,recovery_achieved,response_magnitude,resilience_score,vulnerability_score,rank_recovery,rank_resilience,rank_vulnerability,thermal_stress_level,previous_impact_level,predictor_2023_annual,dhw_2024
Great Pond,81.41666666666667,-81.41666666666667,81.41666666666667,0.8221247070065884,1,1,16,Extreme_Stress,Low_2023_Impact,14.083333333333334,23.1001354166666
Sprat Hole,64.16666666666667,-64.16666666666667,64.16666666666667,0.8402569705136024,2,2,18,Extreme_Stress,Moderate_2023_Impact,33.33333333333333,21.2626145833334
Magens Bay,52.425,-52.425,52.425,0.8910425111315444,3,3,25,Extreme_Stress,Moderate_2023_Impact,35.766666666666666,22.4826666666667
Black Point,52.18253968253968,-52.18253968253968,52.18253968253968,0.917009448573452,4,4,27,Extreme_Stress,Moderate_2023_Impact,49.27457264957265,21.351953125
Salt River West,47.5,-47.5,47.5,0.3988542207671186,5,5,1,Low_Stress,Moderate_2023_Impact,38,3.3019514705883
Cane Bay,44.791666666666664,-44.791666666666664,44.791666666666664,0.7940422490541312,6,6,11,Extreme_Stress,Low_2023_Impact,25.833333333333336,20.5389687499998
Savana,42.33149509803922,-42.33149509803922,42.33149509803922,0.8007325040473474,7,7,12,Extreme_Stress,Low_2023_Impact,23.055555555555543,21.4048645833333
Seahorse Cottage Shoal,37.85218253968253,-37.85218253968253,37.85218253968253,0.9634619185476225,8,8,29,Extreme_Stress,Moderate_2023_Impact,55.09587251828631,22.5131510416666
Coculus Rock,37.667508417508415,-37.667508417508415,37.667508417508415,1.058506360707843,9,9,32,Extreme_Stress,Severe_2023_Impact,80.46469298245614,21.8528645833332
Eagle Ray,33.33333333333333,-33.33333333333333,33.33333333333333,0.8609448904653828,10,10,21,Extreme_Stress,Moderate_2023_Impact,33.33333333333333,21.8666770833333
Botany Bay,32.61904761904762,-32.61904761904762,32.61904761904762,0.849585060754172,11,11,19,Extreme_Stress,Moderate_2023_Impact,30.277777777777786,22.0253333333333
Kings Corner,32.5,-32.5,32.5,0.7695387903700949,12,12,8,Extreme_Stress,Low_2023_Impact,15,21.4310833333334
Fish Bay,31.666666666666664,-31.666666666666664,31.666666666666664,0.8893723129908431,13,13,24,Extreme_Stress,Moderate_2023_Impact,40.416666666666664,21.5304687500001
Castle,28.333333333333336,-28.333333333333336,28.333333333333336,0.9018065201682868,14,14,26,Extreme_Stress,Moderate_2023_Impact,45,21.6446354166668
Coral Bay,21.333333333333332,-21.333333333333332,21.333333333333332,1.0056114583333333,15,15,30,Extreme_Stress,Moderate_2023_Impact,40.833333333333336,25.691125
Buck Island STT,17.176190476190484,-17.176190476190484,17.176190476190484,0.763388469605602,16,16,6,Extreme_Stress,Low_2023_Impact,20.48611111111112,20.0954895833333
Mutton Snapper FSA,16.666666666666664,-16.666666666666664,16.666666666666664,0.7064955930627925,17,17,5,Extreme_Stress,Minimal_2023_Impact,0,23.5598645833334
Lang Bank EEMP,15.833333333333329,-15.833333333333329,15.833333333333329,1.0390375327700063,18,18,31,Extreme_Stress,Severe_2023_Impact,63.333333333333336,24.4111562500001
South Water,15.555555555555548,-15.555555555555548,15.555555555555548,0.6591393603184545,19,19,4,Extreme_Stress,Minimal_2023_Impact,1.6666666666666667,18.9618541666667
Salt River Deep,9,-9,9,0.8708719508072068,20,20,22,Extreme_Stress,Low_2023_Impact,15,25.4333437500001
Meri Shoal,4.166666666666666,-4.166666666666666,4.166666666666666,0.8041348805689437,21,21,13,Extreme_Stress,Low_2023_Impact,26.666666666666664,20.9163749999999
South Capella,0.8333333333333335,-0.8333333333333335,0.8333333333333335,0.8153113128442657,22,22,14,Extreme_Stress,Low_2023_Impact,15,23.0204010416666
Buck Island STX Deep,0.8333333333333334,-0.8333333333333334,0.8333333333333334,0.7817262883346489,23,23,9,Extreme_Stress,Minimal_2023_Impact,0,26.4101727941177
Grammanik Tiger FSA,0.22222222222222163,-0.22222222222222163,0.22222222222222163,0.7876118478075785,24,24,10,Extreme_Stress,Moderate_2023_Impact,36.777777777777786,20.0569947916665
Brewers Bay,0,3.552713678800501e-15,0,0.8388189342872372,25,25,17,Extreme_Stress,Moderate_2023_Impact,34.083333333333336,20.7417083333334
Cane Bay Deep,0,0,0,0.7642573434204706,25,25,7,Extreme_Stress,Minimal_2023_Impact,0,23.8875260416667
College Shoal East,0,8.333333333333332,0,0.6280547327078128,25,25,3,Extreme_Stress,Low_2023_Impact,15.416666666666666,16.6557604166666
Flat Cay,0,5.139709392528935,0,0.956691302398533,25,25,28,Extreme_Stress,Severe_2023_Impact,67.17789001122335,20.2400104166666
Hind Bank East FSA,0,1.166666666666667,0,0.6083541026349979,25,25,2,Extreme_Stress,Minimal_2023_Impact,4.777777777777779,18.2382135416667
Jacks Bay,0,0,0,0.8517312855390421,25,25,20,Extreme_Stress,Moderate_2023_Impact,32.5,21.6920520833334
Lang Bank Red Hind FSA,0,0,0,0.8839863578581768,25,25,23,Extreme_Stress,Low_2023_Impact,17.5,25.53428125
St James,0,0,0,0.8218904232095247,25,25,15,Extreme_Stress,Moderate_2023_Impact,32.916666666666664,20.3988854166667
