Site,Overall_Rank,Performance_Tier,Combined_Performance_Index,Resilience_Score,Vulnerability_Index,Recovery_Achieved_2024_2025,Recovery_Performance_Category,Thermal_Stress_Level_Category,Temperature_Stability_Category,Impact_Severity_Category,Previous_Impact_Level_Category,Bleaching_2023_Annual,Bleaching_2024_Annual,Bleaching_2025_PBL,Max_DHW_2024,Temperature_Instability
Great Pond,1,Tier 1: Exceptional Performance,68.0,56.9,20.8,81.41666666666667,Exceptional Recovery,Low Thermal Stress,Unstable,Severe Impact,Low Previous Impact,14.083333333333334,81.41666666666667,0.0,,2.813842347810565
Sprat Hole,2,Tier 1: Exceptional Performance,63.0,50.9,24.9,64.16666666666667,Exceptional Recovery,Low Thermal Stress,Stable,Severe Impact,High Previous Impact,33.333333333333336,64.16666666666667,0.0,,2.6206161000548702
College Shoal East,3,Tier 1: Exceptional Performance,61.3,22.6,0,0.0,Minimal Recovery,Low Thermal Stress,Highly Stable,Low Impact,Moderate Previous Impact,15.416666666666666,0.0,8.333333333333334,,2.241564263041864
Cane Bay Deep,4,Tier 1: Exceptional Performance,60.0,20.0,0,0.0,Minimal Recovery,Low Thermal Stress,Highly Stable,Low Impact,Low Previous Impact,0.0,0.0,0.0,,2.49674115105711
Lang Bank Red Hind FSA,5,Tier 1: Exceptional Performance,59.4,18.8,0,0.0,Minimal Recovery,Low Thermal Stress,Stable,Low Impact,Moderate Previous Impact,17.5,0.0,0.0,,2.624666827148197
St James,6,Tier 1: Exceptional Performance,59.0,18.1,0,0.0,Minimal Recovery,Low Thermal Stress,Moderately Stable,Low Impact,High Previous Impact,32.916666666666664,0.0,0.0,,2.6937440326527495
Magens Bay,7,Tier 1: Exceptional Performance,57.8,43.4,27.7,52.425,Exceptional Recovery,Low Thermal Stress,Unstable,Severe Impact,High Previous Impact,35.766666666666666,60.63333333333333,8.208333333333334,,2.7782925622550367
Black Point,8,Tier 1: Exceptional Performance,57.8,43.3,27.7,52.182539682539684,Exceptional Recovery,Low Thermal Stress,Unstable,Severe Impact,Severe Previous Impact,49.27457264957265,61.34920634920635,9.166666666666666,,2.781328538432368
Salt River West,9,Tier 1: Exceptional Performance,57.7,44.2,28.8,47.5,Exceptional Recovery,Low Thermal Stress,Highly Stable,Severe Impact,High Previous Impact,38.0,47.5,0.0,,2.4554385675486494
Cane Bay,10,Tier 2: Good Performance,55.7,40.9,29.5,44.791666666666664,Exceptional Recovery,Low Thermal Stress,Stable,Severe Impact,Moderate Previous Impact,25.833333333333332,47.291666666666664,2.5,,2.6486580501258477
Savana,11,Tier 2: Good Performance,55.1,40.3,30.0,42.33149509803922,Exceptional Recovery,Low Thermal Stress,Highly Stable,High Impact,Moderate Previous Impact,23.05555555555555,42.33149509803922,0.0,,2.5911816204149973
Seahorse Cottage Shoal,12,Tier 2: Good Performance,53.0,37.0,31.1,37.85218253968253,Exceptional Recovery,Low Thermal Stress,Moderately Stable,High Impact,Severe Previous Impact,55.09587251828631,40.35218253968253,2.5,,2.6937146118020157
Coculus Rock,13,Tier 2: Good Performance,52.2,35.4,31.1,37.667508417508415,Strong Recovery,Low Thermal Stress,Unstable,Severe Impact,Severe Previous Impact,80.46469298245614,65.46296296296296,27.79545454545455,,2.844298731087913
Grammanik Tiger FSA,14,Tier 2: Good Performance,52.2,24.3,19.9,0.22222222222222165,Minimal Recovery,Low Thermal Stress,Highly Stable,Low Impact,High Previous Impact,36.777777777777786,0.5,0.27777777777777835,,2.0783989859295176
Kings Corner,15,Tier 2: Good Performance,51.4,35.3,32.4,32.5,Strong Recovery,Low Thermal Stress,Stable,High Impact,Low Previous Impact,15.0,32.5,0.0,,2.596756459161835
Eagle Ray,16,Tier 2: Good Performance,51.2,34.6,32.2,33.333333333333336,Strong Recovery,Low Thermal Stress,Moderately Stable,High Impact,High Previous Impact,33.333333333333336,33.333333333333336,0.0,,2.7041006033064137
Botany Bay,17,Tier 2: Good Performance,51.2,34.7,32.3,32.61904761904762,Strong Recovery,Low Thermal Stress,Stable,Severe Impact,Moderate Previous Impact,30.277777777777782,53.61904761904762,21.0,,2.657713123213685
Fish Bay,18,Tier 3: Moderate Performance,50.0,32.5,32.5,31.666666666666668,Strong Recovery,Low Thermal Stress,Unstable,High Impact,High Previous Impact,40.416666666666664,31.666666666666668,0.0,,2.831117114158828
Mutton Snapper FSA,19,Tier 3: Moderate Performance,49.8,35.8,36.1,16.666666666666668,Moderate Recovery,Low Thermal Stress,Highly Stable,Moderate Impact,Low Previous Impact,0.0,16.666666666666668,0.0,,1.7559463273855864
Castle,20,Tier 3: Moderate Performance,49.5,32.2,33.3,28.333333333333332,Strong Recovery,Low Thermal Stress,Moderately Stable,Moderate Impact,Severe Previous Impact,45.0,28.333333333333332,0.0,,2.700304807675778
Buck Island STX Deep,21,Tier 3: Moderate Performance,47.1,27.3,33.1,0.8333333333333334,Moderate Recovery,Low Thermal Stress,Highly Stable,Low Impact,Low Previous Impact,0.0,0.8333333333333334,0.0,,1.8153200963618705
Buck Island STX,22,Tier 3: Moderate Performance,45.6,30.8,39.6,1.6666666666666667,Moderate Recovery,Low Thermal Stress,Highly Stable,Low Impact,Severe Previous Impact,56.5,1.6666666666666667,0.0,,0.0
Coral Bay,23,Tier 3: Moderate Performance,45.4,25.8,35.0,21.333333333333332,Strong Recovery,Low Thermal Stress,Unstable,Moderate Impact,Severe Previous Impact,40.833333333333336,27.5,6.166666666666667,,2.9888707971917925
Buck Island STT,24,Tier 3: Moderate Performance,45.4,26.8,36.0,17.17619047619048,Strong Recovery,Low Thermal Stress,Moderately Stable,High Impact,Moderate Previous Impact,20.486111111111118,33.84285714285715,16.666666666666668,,2.6758879872629686
Lang Bank EEMP,25,Tier 3: Moderate Performance,45.2,26.7,36.3,15.833333333333336,Moderate Recovery,Low Thermal Stress,Stable,High Impact,Severe Previous Impact,63.333333333333336,33.333333333333336,17.5,,2.621617679472238
