site,bleaching_2023_annual,bleaching_2024_pbl,bleaching_2024_annual,bleaching_2025_pbl,dhw_2023,temp_sd_2023,dhw_2024,temp_sd_2024,response_2024_to_2025,recovery_achieved,response_2023_to_2024,temp_instability,cumulative_dhw,max_annual_dhw
St James,32.916666666666664,0.0,0.0,0.0,16.2815220588234,1.4867354015981296,20.3988854166667,1.2070086310546198,0.0,0,-32.916666666666664,2.6937440326527495,36.6804074754901,20.3988854166667
South Capella,15.0,5.0,3.3333333333333335,2.5,20.2945551470588,1.4689323288035925,23.0204010416666,1.2180817483054034,-0.8333333333333335,0.8333333333333335,-10.0,2.687014077108996,43.314956188725404,23.0204010416666
Buck Island STX,56.5,0.0,1.6666666666666667,0.0,0,0,0,0,-1.6666666666666667,1.6666666666666667,-56.5,0,0,0
Lang Bank EEMP,63.333333333333336,10.0,33.333333333333336,17.5,20.791669117647,1.449241858852313,24.4111562500001,1.172375820619925,-15.833333333333336,15.833333333333336,-53.333333333333336,2.621617679472238,45.2028253676471,24.4111562500001
Flat Cay,67.17789001122335,31.666666666666668,38.1936239408044,43.333333333333336,16.6577051083594,1.5051968219487035,20.2400104166666,1.2143689742988697,5.139709392528935,0,-35.51122334455668,2.719565796247573,36.897715525026,20.2400104166666
Hind Bank East FSA,4.777777777777779,0.0,1.0,2.1666666666666665,17.1795073529413,1.1410958454154645,18.2382135416667,0.8508020227084804,1.1666666666666665,0,-4.777777777777779,1.991897868123945,35.417720894607996,18.2382135416667
Coral Bay,40.833333333333336,0.0,27.5,6.166666666666667,22.6133529411764,1.6561318422582616,25.691125,1.332738954933531,-21.333333333333332,21.333333333333332,-40.833333333333336,2.9888707971917925,48.3044779411764,25.691125
Sprat Hole,33.333333333333336,13.333333333333334,64.16666666666667,0.0,18.3977941176469,1.4473839590316793,21.2626145833334,1.1732321410231907,-64.16666666666667,64.16666666666667,-20.0,2.6206161000548702,39.6604087009803,21.2626145833334
Magens Bay,35.766666666666666,0.0,60.63333333333333,8.208333333333334,18.4003088235294,1.5053253842947107,22.4826666666667,1.272967177960326,-52.425,52.425,-35.766666666666666,2.7782925622550367,40.8829754901961,22.4826666666667
Kings Corner,15.0,0.0,32.5,0.0,19.1045073529412,1.4481546443265845,21.4310833333334,1.1486018148352501,-32.5,32.5,-15.0,2.596756459161835,40.5355906862746,21.4310833333334
