"site","year","replicate","date","period","ext_bleached","ext_verypale","ext_anybleaching","ext_nobleaching"
"Black Point",2022,"1",2022-10-10,"Annual",7.83333333333333,0,7.83333333333333,92.1666666666667
"Black Point",2022,"2",2022-10-10,"Annual",5.4,0,5.4,94.6
"Black Point",2022,"3",2022-10-10,"Annual",8.47619047619048,0,8.47619047619048,91.5238095238095
"Black Point",2022,"4",2022-10-10,"Annual",0,0,0,0
"Black Point",2022,"5",2022-10-10,"Annual",0,0,0,0
"Black Point",2022,"6",2022-10-10,"Annual",0,0,0,0
"Black Point",2023,"1",2023-10-17,"Annual",62,0,62,38
"Black Point",2023,"2",2023-10-17,"Annual",57.5,36.6666666666667,61.7307692307692,38.2692307692308
"Black Point",2023,"3",2023-10-17,"Annual",81.6792452830189,55.625,85.25,14.75
"Black Point",2023,"4",2023-10-17,"Annual",91.4285714285714,80,86.6666666666667,13.3333333333333
"Black Point",2023,"5",2023-10-17,"Annual",0,0,0,0
"Black Point",2023,"6",2023-10-17,"Annual",0,0,0,0
"Black Point",2024,"1",2024-02-15,"PBL",0,0,0,0
"Black Point",2024,"1",2024-10-11,"Annual",100,0,100,0
"Black Point",2024,"2",2024-02-15,"PBL",0,0,0,0
"Black Point",2024,"2",2024-10-11,"Annual",100,0,100,0
"Black Point",2024,"3",2024-02-15,"PBL",7.5,0,7.5,92.5
"Black Point",2024,"3",2024-10-11,"Annual",75.5882352941177,79.2857142857143,76.6666666666667,23.3333333333333
"Black Point",2024,"4",2024-02-15,"PBL",0,0,0,0
"Black Point",2024,"4",2024-10-11,"Annual",0,0,0,0
"Black Point",2024,"5",2024-02-15,"PBL",0,0,0,0
"Black Point",2024,"5",2024-10-11,"Annual",100,85,91.4285714285714,8.57142857142857
"Black Point",2024,"6",2024-02-15,"PBL",0,0,0,0
"Black Point",2024,"6",2024-10-11,"Annual",0,0,0,0
"Black Point",2025,"1",2025-03-26,"PBL",25,0,25,75
