"site","year","replicate","date","period","ncolonies","prev_bleached","prev_verypale","prev_anybleaching","prev_nobleaching"
"Black Point",2022,"1",2022-10-10,"Annual",144,0.694444444444444,0,0.694444444444444,99.3055555555556
"Black Point",2022,"2",2022-10-10,"Annual",202,0,0,0,100
"Black Point",2022,"3",2022-10-10,"Annual",312,0.961538461538462,0,0.961538461538462,99.0384615384615
"Black Point",2022,"4",2022-10-10,"Annual",24,0,0,0,100
"Black Point",2022,"5",2022-10-10,"Annual",20,0,0,0,100
"Black Point",2022,"6",2022-10-10,"Annual",30,0,0,0,100
"Black Point",2023,"1",2023-10-17,"Annual",141,2.12765957446809,0,2.12765957446809,97.8723404255319
"Black Point",2023,"2",2023-10-17,"Annual",156,16.025641025641,1.28205128205128,16.025641025641,83.974358974359
"Black Point",2023,"3",2023-10-17,"Annual",160,31.875,3.75,33.75,66.25
"Black Point",2023,"4",2023-10-17,"Annual",21,33.3333333333333,23.8095238095238,57.1428571428571,42.8571428571429
"Black Point",2023,"5",2023-10-17,"Annual",48,0,0,0,100
"Black Point",2023,"6",2023-10-17,"Annual",34,0,0,0,100
"Black Point",2024,"1",2024-02-15,"PBL",6,0,0,0,100
"Black Point",2024,"1",2024-10-11,"Annual",84,2.38095238095238,0,2.38095238095238,97.6190476190476
"Black Point",2024,"2",2024-02-15,"PBL",102,0,0,0,100
"Black Point",2024,"2",2024-10-11,"Annual",45,2.22222222222222,0,2.22222222222222,97.7777777777778
"Black Point",2024,"3",2024-02-15,"PBL",142,0,0,0,100
"Black Point",2024,"3",2024-10-11,"Annual",113,13.2743362831858,5.30973451327434,18.5840707964602,81.4159292035398
"Black Point",2024,"4",2024-02-15,"PBL",20,0,0,0,100
"Black Point",2024,"4",2024-10-11,"Annual",25,0,0,0,100
"Black Point",2024,"5",2024-02-15,"PBL",33,0,0,0,100
"Black Point",2024,"5",2024-10-11,"Annual",35,8.57142857142857,11.4285714285714,20,80
"Black Point",2024,"6",2024-02-15,"PBL",22,0,0,0,100
"Black Point",2024,"6",2024-10-11,"Annual",27,0,0,0,100
"Black Point",2025,"1",2025-03-26,"PBL",51,1.96078431372549,0,1.96078431372549,98.0392156862745
"Black Point",2025,"2",2025-03-26,"PBL",84,0,0,0,100
"Black Point",2025,"3",2025-03-26,"PBL",90,1.11111111111111,0,1.11111111111111,98.8888888888889
"Black Point",2025,"4",2025-03-26,"PBL",16,0,0,0,100
"Black Point",2025,"5",2025-03-26,"PBL",32,0,0,0,100
"Black Point",2025,"6",2025-03-26,"PBL",27,0,0,0,100
"Botany Bay",2022,"1",2022-10-03,"Annual",42,0,0,0,100
"Botany Bay",2022,"2",2022-10-03,"Annual",43,2.32558139534884,0,2.32558139534884,97.6744186046512
"Botany Bay",2022,"3",2022-10-03,"Annual",37,0,0,0,100
"Botany Bay",2022,"4",2022-10-03,"Annual",11,0,0,0,100
"Botany Bay",2022,"5",2022-10-03,"Annual",7,0,0,0,100
"Botany Bay",2022,"6",2022-10-03,"Annual",8,0,0,0,100
"Botany Bay",2023,"1",2023-10-12,"Annual",43,0,0,0,100
"Botany Bay",2023,"2",2023-10-12,"Annual",38,0,2.63157894736842,2.63157894736842,97.3684210526316
"Botany Bay",2023,"3",2023-10-12,"Annual",26,11.5384615384615,0,11.5384615384615,88.4615384615385
"Botany Bay",2023,"4",2023-10-12,"Annual",69,8.69565217391304,0,8.69565217391304,91.304347826087
"Botany Bay",2023,"5",2023-10-12,"Annual",4,0,0,0,100
"Botany Bay",2023,"6",2023-10-12,"Annual",8,0,0,0,100
