"site","year","replicate","date","period","ncolonies","prev_oldmortality","prev_recentmortality","prev_anymortality","prev_nomortality"
"Black Point",2022,"1",2022-10-10,"Annual",144,1.38888888888889,0,1.38888888888889,98.6111111111111
"Black Point",2022,"2",2022-10-10,"Annual",202,0.99009900990099,0.99009900990099,1.98019801980198,98.019801980198
"Black Point",2022,"3",2022-10-10,"Annual",312,1.6025641025641,0.641025641025641,2.24358974358974,97.7564102564103
"Black Point",2022,"4",2022-10-10,"Annual",24,0,0,0,100
"Black Point",2022,"5",2022-10-10,"Annual",20,0,0,0,100
"Black Point",2022,"6",2022-10-10,"Annual",30,0,0,0,100
"Black Point",2023,"1",2023-10-17,"Annual",141,2.12765957446809,1.41843971631206,2.83687943262411,97.1631205673759
"Black Point",2023,"2",2023-10-17,"Annual",156,7.05128205128205,0.641025641025641,7.69230769230769,92.3076923076923
"Black Point",2023,"3",2023-10-17,"Annual",160,16.25,1.25,17.5,82.5
"Black Point",2023,"4",2023-10-17,"Annual",21,28.5714285714286,9.52380952380952,33.3333333333333,66.6666666666667
"Black Point",2023,"5",2023-10-17,"Annual",48,6.25,0,6.25,93.75
"Black Point",2023,"6",2023-10-17,"Annual",34,0,0,0,100
"Black Point",2024,"1",2024-02-15,"PBL",6,0,0,0,100
"Black Point",2024,"1",2024-10-11,"Annual",84,9.52380952380952,0,9.52380952380952,90.4761904761905
"Black Point",2024,"2",2024-02-15,"PBL",102,21.5686274509804,0,21.5686274509804,78.4313725490196
"Black Point",2024,"2",2024-10-11,"Annual",45,8.88888888888889,0,8.88888888888889,91.1111111111111
"Black Point",2024,"3",2024-02-15,"PBL",142,1.40845070422535,0,1.40845070422535,98.5915492957746
"Black Point",2024,"3",2024-10-11,"Annual",113,13.2743362831858,3.53982300884956,15.929203539823,84.070796460177
"Black Point",2024,"4",2024-02-15,"PBL",20,0,0,0,100
"Black Point",2024,"4",2024-10-11,"Annual",25,0,0,0,100
"Black Point",2024,"5",2024-02-15,"PBL",33,0,0,0,100
"Black Point",2024,"5",2024-10-11,"Annual",35,34.2857142857143,5.71428571428571,40,60
"Black Point",2024,"6",2024-02-15,"PBL",22,0,0,0,100
"Black Point",2024,"6",2024-10-11,"Annual",27,0,0,0,100
"Black Point",2025,"1",2025-03-26,"PBL",51,43.1372549019608,1.96078431372549,43.1372549019608,56.8627450980392
"Black Point",2025,"2",2025-03-26,"PBL",84,29.7619047619048,0,29.7619047619048,70.2380952380952
"Black Point",2025,"3",2025-03-26,"PBL",90,38.8888888888889,0,38.8888888888889,61.1111111111111
"Black Point",2025,"4",2025-03-26,"PBL",16,56.25,0,56.25,43.75
"Black Point",2025,"5",2025-03-26,"PBL",32,31.25,3.125,34.375,65.625
"Black Point",2025,"6",2025-03-26,"PBL",27,0,0,0,100
"Botany Bay",2022,"1",2022-10-03,"Annual",42,0,0,0,100
"Botany Bay",2022,"2",2022-10-03,"Annual",43,0,0,0,100
"Botany Bay",2022,"3",2022-10-03,"Annual",37,0,0,0,100
"Botany Bay",2022,"4",2022-10-03,"Annual",11,0,0,0,100
"Botany Bay",2022,"5",2022-10-03,"Annual",7,0,0,0,100
"Botany Bay",2022,"6",2022-10-03,"Annual",8,0,0,0,100
"Botany Bay",2023,"1",2023-10-12,"Annual",43,4.65116279069767,0,4.65116279069767,95.3488372093023
"Botany Bay",2023,"2",2023-10-12,"Annual",38,5.26315789473684,0,5.26315789473684,94.7368421052632
"Botany Bay",2023,"3",2023-10-12,"Annual",26,15.3846153846154,0,15.3846153846154,84.6153846153846
"Botany Bay",2023,"4",2023-10-12,"Annual",69,5.79710144927536,0,5.79710144927536,94.2028985507246
"Botany Bay",2023,"5",2023-10-12,"Annual",4,0,0,0,100
"Botany Bay",2023,"6",2023-10-12,"Annual",8,0,0,0,100
"Botany Bay",2024,"1",2024-04-17,"PBL",42,2.38095238095238,0,2.38095238095238,97.6190476190476
"Botany Bay",2024,"1",2024-10-17,"Annual",60,5,0,5,95
"Botany Bay",2024,"2",2024-04-17,"PBL",35,0,0,0,100
"Botany Bay",2024,"2",2024-10-17,"Annual",48,0,0,0,100
"Botany Bay",2024,"3",2024-04-17,"PBL",27,7.40740740740741,0,7.40740740740741,92.5925925925926
"Botany Bay",2024,"3",2024-10-17,"Annual",34,23.5294117647059,2.94117647058824,26.4705882352941,73.5294117647059
