site,n_timepoints,mean_bleaching,sd_bleaching,min_bleaching,max_bleaching,range_bleaching,cv_bleaching,variability_category
Buck Island STX Deep,4,0.20833333333333331,0.4166666666666667,0,0.8333333333333334,0.8333333333333334,2.0000000000000004,Extreme Variability
Cane Bay Deep,4,2.25,4.5,0,9,9,2,Extreme Variability
Mutton Snapper FSA,4,4.166666666666666,8.333333333333332,0,16.666666666666664,16.666666666666664,2,Extreme Variability
St James,4,8.229166666666668,16.458333333333332,0,32.916666666666664,32.916666666666664,1.9999999999999996,Extreme Variability
Buck Island STX,4,14.541666666666668,27.98325392087203,0,56.5,56.5,1.9243498398307413,Extreme Variability
South Water,4,4.4722222222222205,7.645098486232697,0,15.888888888888882,15.888888888888882,1.7094630155551378,Extreme Variability
Great Pond,4,23.875,38.93135578120756,0,81.41666666666667,81.41666666666667,1.6306327028778034,Extreme Variability
Grammanik Tiger FSA,4,10.909722222222225,17.45327941816551,0.27777777777777835,36.777777777777786,36.50000000000001,1.5997913661462972,Extreme Variability
Lang Bank Red Hind FSA,4,5.416666666666666,8.2915619758885,0,17.5,17.5,1.5307499032409542,High Variability
Kings Corner,4,11.875,15.461646096066227,0,32.5,32.5,1.3020333554582086,High Variability
Savana,4,16.596762663398692,20.18831341469521,0,42.33149509803922,42.33149509803922,1.2164006815146586,High Variability
Castle,4,18.333333333333336,22.23610677354389,0,45,45,1.2128785512842122,High Variability
College Shoal East,4,6.145833333333332,7.22789574162853,0,15.416666666666666,15.416666666666666,1.1760643918582017,High Variability
Salt River West,4,21.375,24.98457857692754,0,47.5,47.5,1.1688691731895924,High Variability
Seahorse Cottage Shoal,4,24.48701376449221,27.517560646839033,0,55.09587251828631,55.09587251828631,1.1237613908945203,High Variability
Cane Bay,4,19.65625,21.398132246937053,2.5,47.291666666666664,44.791666666666664,1.088617220829866,High Variability
Meri Shoal,4,10.625,11.453913288899544,0,26.666666666666664,26.666666666666664,1.078015368367016,Moderate Variability
Magens Bay,4,26.152083333333334,27.612234250854712,0,60.63333333333333,60.63333333333333,1.055833063045508,Moderate Variability
Hind Bank East FSA,4,1.9861111111111114,2.0609913112832827,0,4.777777777777779,4.777777777777779,1.0377019189678065,Moderate Variability
Coral Bay,4,18.625,18.92156079616486,0,40.833333333333336,40.833333333333336,1.015922727310865,Moderate Variability
Sprat Hole,4,27.708333333333336,27.90007799006755,0,64.16666666666667,64.16666666666667,1.0069201079122123,Moderate Variability
Black Point,4,30.260111416361415,29.521752068211583,1.25,61.34920634920635,60.09920634920635,0.9755995826323823,Moderate Variability
South Capella,4,6.458333333333334,5.7885183289374185,2.5,15,12.5,0.8962867089967614,Moderate Variability
Salt River Deep,4,8,7.164728420068226,0,15,15,0.8955910525085282,Moderate Variability
Brewers Bay,4,16.854166666666668,13.9161468632132,0,34.083333333333336,34.083333333333336,0.8256799127740835,Low Variability
Fish Bay,4,21.770833333333332,17.938858994847944,0,40.416666666666664,40.416666666666664,0.8239858677059343,Low Variability
Coculus Rock,4,43.84744428938508,35.80008344950461,1.6666666666666667,80.46469298245614,78.79802631578947,0.8164691016705703,Low Variability
Botany Bay,4,26.84920634920635,21.25618787086982,2.5,53.61904761904762,51.11904761904762,0.7916877539845099,Low Variability
Eagle Ray,4,20.83333333333333,15.957118462605633,0,33.33333333333333,33.33333333333333,0.7659416862050705,Low Variability
Lang Bank EEMP,4,31.041666666666664,23.62295454598094,10,63.333333333333336,53.333333333333336,0.7610079316826075,Low Variability
Jacks Bay,4,18.541666666666668,13.529374763139703,0,32.5,32.5,0.7296741445288828,Low Variability
Buck Island STT,4,22.436408730158732,7.762951736709288,16.666666666666664,33.84285714285715,17.176190476190484,0.3459979638485739,Low Variability
Flat Cay,4,45.09287848800694,15.478012472650029,31.666666666666664,67.17789001122335,35.51122334455669,0.34324738166286317,Low Variability
