site,period,initial_bleaching,final_bleaching,recovery_rate,recovery_proportion,persistence_rate,net_change,max_dhw_2023,temp_sd_2023,max_dhw_2024,temp_sd_2024,relevant_dhw,relevant_temp_sd
Black Point,2023_to_2024_PBL,49.27457264957265,1.25,48.02457264957265,0.974631946401856,1.25,-48.02457264957265,18.7954352355072,1.549423166410273,21.351953125,1.2319053720220952,18.7954352355072,1.549423166410273
Botany Bay,2023_to_2024_PBL,30.277777777777786,2.5,27.777777777777786,0.9174311926605505,2.5,-27.777777777777786,18.9528676470588,1.4372170413064729,22.0253333333333,1.2204960819072124,18.9528676470588,1.4372170413064729
Brewers Bay,2023_to_2024_PBL,34.083333333333336,0,34.083333333333336,1,0,-34.083333333333336,16.403605882353,1.551713904328569,20.7417083333334,1.1971937961944497,16.403605882353,1.551713904328569
Buck Island STT,2023_to_2024_PBL,20.48611111111112,18.75,1.7361111111111214,0.08474576271186486,18.75,-1.7361111111111214,15.5603150326797,1.4750993596128,20.0954895833333,1.2007886276501682,15.5603150326797,1.4750993596128
Buck Island STX,2023_to_2024_PBL,56.5,0,56.5,1,0,-56.5,NA,NA,NA,NA,NA,NA
Buck Island STX Deep,2023_to_2024_PBL,0,0,0,0,0,0,5.2900497606019,0.6530844983406299,26.4101727941177,1.1622355980212409,5.2900497606019,0.6530844983406299
Cane Bay,2023_to_2024_PBL,25.833333333333336,3,22.833333333333336,0.8838709677419355,3,-22.833333333333336,17.7278051470588,1.4501196611904563,20.5389687499998,1.1985383889353916,17.7278051470588,1.4501196611904563
Cane Bay Deep,2023_to_2024_PBL,0,9,0,0,0,9,19.0488639705883,1.3703882902964244,23.8875260416667,1.1263528607606854,19.0488639705883,1.3703882902964244
Castle,2023_to_2024_PBL,45,0,45,1,0,-45,18.6817132352941,1.489108238897095,21.6446354166668,1.2111965687786828,18.6817132352941,1.489108238897095
Coculus Rock,2023_to_2024_PBL,80.46469298245614,1.6666666666666667,78.79802631578947,0.979286981595393,1.6666666666666667,-78.79802631578947,18.6060142156863,1.581141616643458,21.8528645833332,1.2631571144444556,18.6060142156863,1.581141616643458
College Shoal East,2023_to_2024_PBL,15.416666666666666,0.8333333333333334,14.583333333333332,0.9459459459459459,0.8333333333333334,-14.583333333333332,17.5813676470589,1.2690168357947764,16.6557604166666,0.972547427247088,17.5813676470589,1.2690168357947764
Coral Bay,2023_to_2024_PBL,40.833333333333336,0,40.833333333333336,1,0,-40.833333333333336,22.6133529411764,1.6561318422582616,25.691125,1.3327389549335311,22.6133529411764,1.6561318422582616
Eagle Ray,2023_to_2024_PBL,33.33333333333333,16.666666666666664,16.666666666666664,0.5,16.666666666666664,-16.666666666666664,18.9731250000001,1.4726989239821158,21.8666770833333,1.231401679324298,18.9731250000001,1.4726989239821158
Fish Bay,2023_to_2024_PBL,40.416666666666664,15,25.416666666666664,0.6288659793814433,15,-25.416666666666664,19.5525735294118,1.592537010786918,21.5304687500001,1.2385801033719102,19.5525735294118,1.592537010786918
Flat Cay,2023_to_2024_PBL,67.17789001122335,31.666666666666664,35.51122334455669,0.5286147471827987,31.666666666666664,-35.51122334455669,16.6577051083594,1.5051968219487035,20.2400104166666,1.2143689742988697,16.6577051083594,1.5051968219487035
