site,response_2024_to_2025,recovery_2024_to_2025,recovery_prop_2024_to_2025,baseline_2024_annual,outcome_2025_pbl,worsening_2024_to_2025,response_2023_to_2024,recovery_2023_to_2024,recovery_prop_2023_to_2024,baseline_2023_annual,outcome_2024_pbl,max_dhw_2023,max_dhw_2024,temp_sd_2023,temp_sd_2024,total_dhw_accumulation_2023,total_dhw_accumulation_2024,max_weekly_temp_2023,max_weekly_temp_2024,temp_range_2023,temp_range_2024,weeks_with_dhw_2023,weeks_with_dhw_2024,cumulative_dhw,max_annual_dhw,thermal_variability,thermal_persistence,dhw_escalation,prev_bleaching_category,dhw_2024_category,thermal_variability_category
Black Point,-52.18253968253968,52.18253968253968,0.8505821474773609,61.34920634920635,9.166666666666666,0,-48.02457264957265,48.02457264957265,0.974631946401856,49.27457264957265,1.25,18.7954352355072,21.351953125,1.549423166410273,1.2319053720220952,262.45696467391207,394.9858906250003,30.6296956521739,31.0934427083333,4.6602633605072015,3.8873906249999983,24,29,657.4428552989124,21.351953125,2.7813285384323683,53,2.5565178894928025,Severe Previous Impact,Moderate Current Stress,Extreme Variability
Botany Bay,-32.61904761904762,32.61904761904762,0.6083481349911191,53.61904761904762,21,0,-27.777777777777786,27.777777777777786,0.9174311926605504,30.277777777777786,2.5,18.9528676470588,22.0253333333333,1.4372170413064729,1.2204960819072124,259.78457352941143,320.9978958333326,30.3707794117647,30.8020625,4.393044117647101,4.008805147058801,23,28,580.782469362744,22.0253333333333,2.6577131232136852,51,3.0724656862745015,Moderate Previous Impact,High Current Stress,Moderate Variability
Brewers Bay,3.552713678800501e-15,0,0,16.666666666666664,16.666666666666668,3.552713678800501e-15,-34.083333333333336,34.083333333333336,1,34.083333333333336,0,16.403605882353,20.7417083333334,1.551713904328569,1.1971937961944497,205.27826323529436,370.7921145833344,30.6259779411765,31.1653541666667,4.7108750000000015,4.0063046617162,22,27,576.0703778186288,20.7417083333334,2.7489077005230187,49,4.338102450980401,High Previous Impact,Moderate Current Stress,Extreme Variability
Buck Island STT,-17.176190476190484,17.176190476190484,0.5075277895033068,33.84285714285715,16.666666666666664,0,-1.7361111111111214,1.7361111111111214,0.08474576271186486,20.48611111111112,18.75,15.5603150326797,20.0954895833333,1.4750993596128,1.2007886276501682,204.82364803921467,349.16428124999914,30.4566470588235,30.9118854166667,4.336580882352898,3.717282475490201,22,29,553.9879292892138,20.0954895833333,2.675887987262968,51,4.5351745506536005,Moderate Previous Impact,Low Current Stress,High Variability
Buck Island STX Deep,-0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0,0,0,0,0,0,0,5.2900497606019,26.4101727941177,0.6530844983406299,1.1622355980212409,35.7068686730505,563.0641283700984,29.8808953488372,30.7397536764706,1.8286931429548012,3.9172316176471007,8,32,598.7709970431489,26.4101727941177,1.8153200963618707,40,21.1201230335158,Low Previous Impact,Extreme Current Stress,Low Variability
Cane Bay,-44.791666666666664,44.791666666666664,0.947136563876652,47.291666666666664,2.5,0,-22.833333333333336,22.833333333333336,0.8838709677419355,25.833333333333336,3,17.7278051470588,20.5389687499998,1.4501196611904563,1.1985383889353916,217.84670220588248,328.1628854166642,30.5414191176471,30.9511145833333,4.3668382352942,3.8290557598039,21,29,546.0095876225466,20.5389687499998,2.6486580501258477,50,2.8111636029410008,Moderate Previous Impact,Moderate Current Stress,Moderate Variability
Cane Bay Deep,0,0,0,0,0,0,9,0,0,0,9,19.0488639705883,23.8875260416667,1.3703882902964244,1.1263528607606854,293.54267647058924,489.71362571271794,30.1998823529412,30.735078125,3.9706654411765,3.7158060661765018,25,31,783.2563021833072,23.8875260416667,2.49674115105711,56,4.838662071078399,Low Previous Impact,Extreme Current Stress,Low Variability
Castle,-28.333333333333336,28.333333333333336,1,28.333333333333336,0,0,-45,45,1,45,0,18.6817132352941,21.6446354166668,1.489108238897095,1.2111965687786828,253.2639485294114,399.3982291666681,30.7988676470588,31.0235104166667,4.650624999999998,3.7084074754901977,22,30,652.6621776960795,21.6446354166668,2.700304807675778,52,2.9629221813727007,Severe Previous Impact,High Current Stress,High Variability
Coculus Rock,-37.667508417508415,37.667508417508415,0.5754018258968754,65.46296296296296,27.79545454545455,0,-78.79802631578947,78.79802631578947,0.979286981595393,80.46469298245614,1.6666666666666667,18.6060142156863,21.8528645833332,1.581141616643458,1.2631571144444556,259.53361544117644,408.0407135416654,30.8158492647059,31.3590520833333,4.8145110294118005,3.9902101715685983,24,31,667.5743289828418,21.8528645833332,2.8442987310879135,55,3.2468503676469,Severe Previous Impact,High Current Stress,Extreme Variability
College Shoal East,8.333333333333332,0,0,0,8.333333333333332,8.333333333333332,-14.583333333333332,14.583333333333332,0.945945945945946,15.416666666666666,0.8333333333333334,17.5813676470589,16.6557604166666,1.2690168357947764,0.972547427247088,206.45273529411847,204.79751041666648,30.2598014705882,30.1725,3.947345588235301,3.2155147058823985,21,25,411.25024571078495,17.5813676470589,2.241564263041864,46,-0.925607230392302,Moderate Previous Impact,Low Current Stress,Low Variability
Coral Bay,-21.333333333333332,21.333333333333332,0.7757575757575758,27.5,6.166666666666667,0,-40.833333333333336,40.833333333333336,1,40.833333333333336,0,22.6133529411764,25.691125,1.6561318422582616,1.3327389549335311,434.2390955882356,526.6081770833322,31.1552941176471,31.3566354166667,5.059926470588298,4.268201593137299,30,32,960.8472726715678,25.691125,2.988870797191793,62,3.077772058823598,Severe Previous Impact,Extreme Current Stress,Extreme Variability
Eagle Ray,-33.33333333333333,33.33333333333333,1,33.33333333333333,0,0,-16.666666666666664,16.666666666666664,0.5,33.33333333333333,16.666666666666664,18.9731250000001,21.8666770833333,1.4726989239821158,1.231401679324298,267.7869411764706,413.2245937499991,30.5737132352941,30.9221770833333,4.353566176470601,3.8637138480392,23,30,681.0115349264697,21.8666770833333,2.7041006033064137,53,2.8935520833332014,High Previous Impact,High Current Stress,High Variability
Fish Bay,-31.666666666666664,31.666666666666664,1,31.666666666666664,0,0,-25.416666666666664,25.416666666666664,0.6288659793814433,40.416666666666664,15,19.5525735294118,21.5304687500001,1.592537010786918,1.2385801033719102,285.51578676470666,435.04914583333453,30.9090588235294,31.3124166666667,4.721161764705901,3.800281250000001,26,32,720.5649325980412,21.5304687500001,2.831117114158828,58,1.9778952205883016,Severe Previous Impact,Moderate Current Stress,Extreme Variability
Flat Cay,5.139709392528935,0,0,38.1936239408044,43.333333333333336,5.139709392528935,-35.51122334455669,35.51122334455669,0.5286147471827987,67.17789001122335,31.666666666666664,16.6577051083594,20.2400104166666,1.5051968219487035,1.2143689742988697,209.24727089783576,374.00325520833405,30.5386066176471,30.9206458333333,4.471955882353001,3.8350796568627,22,29,583.2505261061698,20.2400104166666,2.719565796247573,51,3.5823053083071983,Severe Previous Impact,Low Current Stress,Extreme Variability
Grammanik Tiger FSA,-0.22222222222222163,0.22222222222222163,0.4444444444444433,0.5,0.27777777777777835,0,-30.694444444444457,30.694444444444457,0.8345921450151058,36.777777777777786,6.083333333333333,19.2382316176469,20.0569947916665,1.1946356012471335,0.8837633846823836,251.30828308823388,256.04567187499936,30.2731213235294,30.0738958333333,4.026698529411799,3.117781862745101,28,29,507.35395496323326,20.0569947916665,2.078398985929517,57,0.8187631740196011,High Previous Impact,Low Current Stress,Low Variability
Great Pond,-81.41666666666667,81.41666666666667,1,81.41666666666667,0,0,-14.083333333333334,14.083333333333334,1,14.083333333333334,0,17.2090147058825,23.1001354166666,1.5546868339345872,1.2591555138759778,238.22176470588448,457.8513958333324,30.865625,31.7214270833333,4.7337647058824,4.220566789215699,27,33,696.0731605392168,23.1001354166666,2.813842347810565,60,5.891120710784101,Low Previous Impact,Extreme Current Stress,Extreme Variability
Hind Bank East FSA,1.166666666666667,0,0,1,2.166666666666667,1.166666666666667,-4.777777777777779,4.777777777777779,1,4.777777777777779,0,17.1795073529413,18.2382135416667,1.1410958454154645,0.8508020227084803,242.61063235294296,228.7104062500002,30.0524705882353,30.0815416666667,3.7955036764705983,3.189781372549099,29,27,471.3210386029432,18.2382135416667,1.9918978681239448,56,1.0587061887253988,Low Previous Impact,Low Current Stress,Low Variability
Jacks Bay,0,0,0,20.833333333333336,20.833333333333336,0,-32.5,32.5,1,32.5,0,17.3065882352939,21.6920520833334,1.478698307821557,1.202766880635289,235.85063235293848,412.6691354166673,30.52375,31.0731458333333,4.3861764705882,3.734204656862701,22,31,648.5197677696058,21.6920520833334,2.681465188456846,53,4.3854638480395,High Previous Impact,High Current Stress,High Variability
Kings Corner,-32.5,32.5,1,32.5,0,0,-15,15,1,15,0,19.1045073529412,21.4310833333334,1.4481546443265845,1.1486018148352506,257.89752941176414,408.7975520833331,30.5515588235294,30.98253125,4.3451102941176,3.7780680147059016,22,31,666.6950814950972,21.4310833333334,2.596756459161835,53,2.3265759803921995,Low Previous Impact,Moderate Current Stress,Moderate Variability
Lang Bank EEMP,-15.833333333333329,15.833333333333329,0.4749999999999999,33.33333333333333,17.5,0,-53.333333333333336,53.333333333333336,0.8421052631578947,63.333333333333336,10,20.791669117647,24.4111562500001,1.449241858852313,1.172375820619925,342.2859558823519,509.2979127155174,30.461375,30.8938020833333,4.232669117647099,3.792030024509799,27,32,851.5838685978692,24.4111562500001,2.621617679472238,59,3.6194871323531004,Severe Previous Impact,Extreme Current Stress,Moderate Variability
Lang Bank Red Hind FSA,0,0,0,0,0,0,-13.333333333333334,13.333333333333334,0.761904761904762,17.5,4.166666666666666,21.0152279411765,25.53428125,1.4531076342518248,1.1715591928963724,304.8195294117662,497.9573541666674,30.2684926470588,30.8208958333333,4.109088235294099,3.944300245097999,23,31,802.7768835784336,25.53428125,2.6246668271481974,54,4.519053308823498,Moderate Previous Impact,Extreme Current Stress,Moderate Variability
Magens Bay,-52.425,52.425,0.8646234194612424,60.63333333333333,8.208333333333334,0,-35.766666666666666,35.766666666666666,1,35.766666666666666,0,18.4003088235294,22.4826666666667,1.5053253842947103,1.2729671779603262,248.62369117647168,290.54055208333443,30.6084779411765,31.0809166666667,4.6620882352940995,4.345762254901999,22,24,539.1642432598061,22.4826666666667,2.7782925622550367,46,4.082357843137299,High Previous Impact,High Current Stress,Extreme Variability
Meri Shoal,-4.166666666666666,4.166666666666666,0.41666666666666663,10,5.833333333333334,0,-26.666666666666664,26.666666666666664,1,26.666666666666664,0,19.9913823529413,20.9163749999999,1.4573592333890055,1.151309846544644,258.27507352941234,369.958052083333,30.3946029411765,30.7067604166667,4.2121470588236,3.740723651960799,23,29,628.2331256127453,20.9163749999999,2.60866907993365,52,0.9249926470585983,Moderate Previous Impact,Moderate Current Stress,Moderate Variability
Mutton Snapper FSA,-16.666666666666664,16.666666666666664,1,16.666666666666664,0,0,0,0,0,0,0,2.1019268207283,23.5598645833334,0.6297786113512291,1.1261677160343573,15.8153925070029,493.1688854166704,29.6019047619048,30.7827916666667,1.620779761904803,3.5804093137255,8,32,508.9842779236733,23.5598645833334,1.7559463273855864,40,21.4579377626051,Low Previous Impact,Extreme Current Stress,Low Variability
Salt River Deep,-9,9,0.6923076923076923,13,4,0,-15,15,1,15,0,21.7425514705883,25.4333437500001,1.4319169446270368,1.1839182243565034,341.4909485294118,543.885197916669,30.4415147058824,30.808875,4.213051470588301,3.7923897058824,27,32,885.3761464460808,25.4333437500001,2.61583516898354,59,3.6907922794117987,Low Previous Impact,Extreme Current Stress,Moderate Variability
Salt River West,-47.5,47.5,1,47.5,0,0,-38,38,1,38,0,14.3500129901959,3.3019514705883,1.4481930569522878,1.0072455105963614,178.09239117646862,6.4565737745099,30.4619193627451,29.9537203431373,4.322655882352901,2.934616666666699,21,3,184.54896495097853,14.3500129901959,2.455438567548649,24,-11.0480615196076,High Previous Impact,Low Current Stress,Low Variability
