"program","year","week","site","depth","BT","weekly_max_temp","dhw","annual_max"
"TCRMP",2007,1,"Great Pond",4,30,27.0039705882353,0,1
"TCRMP",2008,1,"Great Pond",4,30,27.0840588235294,0,0
"TCRMP",2008,1,"Great Pond",4,30,26.2549705882353,0,0
"TCRMP",2009,1,"Great Pond",4,30,26.3956617647059,0,0
"TCRMP",2010,1,"Great Pond",4,30,27.7626470588235,0,0
"TCRMP",2011,1,"Great Pond",4,30,26.5579852941176,0,0
"TCRMP",2012,1,"Great Pond",4,30,26.9150514705882,0,0
"TCRMP",2012,1,"Great Pond",4,30,27.1833970588235,0,0
"TCRMP",2013,1,"Great Pond",4,30,27.0529044117647,0,0
"TCRMP",2013,1,"Great Pond",4,30,27.2256470588235,0,0
"TCRMP",2014,1,"Great Pond",4,30,27.0082647058824,0,1
"TCRMP",2014,1,"Great Pond",4,30,27.0924264705882,0,0
"TCRMP",2015,1,"Great Pond",4,30,27.1294779411765,0,0
"TCRMP",2016,1,"Great Pond",4,30,27.1,0,0
"TCRMP",2017,1,"Great Pond",4,30,27.1113823529412,0,0
"TCRMP",2018,1,"Great Pond",4,30,27.3280081967213,0,1
"TCRMP",2018,1,"Great Pond",4,30,26.3664926470588,0,0
"TCRMP",2019,1,"Great Pond",4,30,26.5434632352941,0,0
"TCRMP",2019,1,"Great Pond",4,30,28.0209558823529,0,0
"TCRMP",2020,1,"Great Pond",4,30,28.3554264705882,0,0
"TCRMP",2021,1,"Great Pond",4,30,27.0019558823529,0,0
"TCRMP",2022,1,"Great Pond",4,30,27.0121470588235,0,0
"TCRMP",2023,1,"Great Pond",4,30,26.8438088235294,0,0
"TCRMP",2024,1,"Great Pond",4,30,27.79225,0,0
"TCRMP",2024,1,"Great Pond",4,30,27.68240625,0,0
"TCRMP",2025,1,"Great Pond",4,30,27.7486458333333,0,1
"TCRMP",2008,2,"Great Pond",4,30,26.9264852941176,0,0
"TCRMP",2009,2,"Great Pond",4,30,26.4799705882353,0,0
"TCRMP",2010,2,"Great Pond",4,30,27.7699264705882,0,0
"TCRMP",2011,2,"Great Pond",4,30,26.581,0,0
"TCRMP",2012,2,"Great Pond",4,30,26.6921029411765,0,0
"TCRMP",2013,2,"Great Pond",4,30,26.8087058823529,0,0
"TCRMP",2014,2,"Great Pond",4,30,26.9525735294118,0,0
"TCRMP",2015,2,"Great Pond",4,30,26.9036617647059,0,0
"TCRMP",2017,2,"Great Pond",4,30,27.2280808823529,0,0
"TCRMP",2019,2,"Great Pond",4,30,26.8516323529412,0,0
"TCRMP",2020,2,"Great Pond",4,30,27.7850955882353,0,0
"TCRMP",2021,2,"Great Pond",4,30,26.9785,0,0
"TCRMP",2022,2,"Great Pond",4,30,27.1698676470588,0,0
"TCRMP",2023,2,"Great Pond",4,30,27.0434926470588,0,0
"TCRMP",2024,2,"Great Pond",4,30,27.5414338235294,0,0
"TCRMP",2025,2,"Great Pond",4,30,28.08428125,0,0
"TCRMP",2008,3,"Great Pond",4,30,26.8534558823529,0,0
"TCRMP",2009,3,"Great Pond",4,30,26.2220882352941,0,0
"TCRMP",2010,3,"Great Pond",4,30,27.6893432835821,0,0
"TCRMP",2011,3,"Great Pond",4,30,26.6447647058824,0,0
"TCRMP",2012,3,"Great Pond",4,30,26.3604117647059,0,0
"TCRMP",2013,3,"Great Pond",4,30,26.2875955882353,0,0
"TCRMP",2014,3,"Great Pond",4,30,26.6540367647059,0,0
"TCRMP",2015,3,"Great Pond",4,30,27.2696617647059,0,0
"TCRMP",2017,3,"Great Pond",4,30,26.703125,0,0
"TCRMP",2019,3,"Great Pond",4,30,26.6156102941176,0,0
"TCRMP",2020,3,"Great Pond",4,30,27.1905514705882,0,0
"TCRMP",2022,3,"Great Pond",4,30,27.0165294117647,0,0
"TCRMP",2023,3,"Great Pond",4,30,26.9236544117647,0,0
"TCRMP",2024,3,"Great Pond",4,30,27.6879338235294,0,0
"TCRMP",2025,3,"Great Pond",4,30,27.7958541666667,0,0
"TCRMP",2008,4,"Great Pond",4,30,26.6163382352941,0,0
"TCRMP",2009,4,"Great Pond",4,30,26.5306176470588,0,0
"TCRMP",2010,4,"Great Pond",4,30,27.4049558823529,0,0
"TCRMP",2011,4,"Great Pond",4,30,26.5931764705882,0,0
"TCRMP",2012,4,"Great Pond",4,30,26.1273970588235,0,0
"TCRMP",2013,4,"Great Pond",4,30,26.4484632352941,0,0
"TCRMP",2014,4,"Great Pond",4,30,26.7323161764706,0,0
"TCRMP",2015,4,"Great Pond",4,30,27.5822867647059,0,0
"TCRMP",2017,4,"Great Pond",4,30,26.8607720588235,0,0
"TCRMP",2019,4,"Great Pond",4,30,26.5089044117647,0,0
"TCRMP",2020,4,"Great Pond",4,30,27.3230367647059,0,0
"TCRMP",2022,4,"Great Pond",4,30,26.8703529411765,0,0
"TCRMP",2023,4,"Great Pond",4,30,26.5143897058824,0,0
"TCRMP",2024,4,"Great Pond",4,30,27.5505588235294,0,0
"TCRMP",2025,4,"Great Pond",4,30,27.6543854166667,0,0
"TCRMP",2008,5,"Great Pond",4,30,26.6073529411765,0,0
"TCRMP",2009,5,"Great Pond",4,30,26.6234264705882,0,0
"TCRMP",2010,5,"Great Pond",4,30,27.2401617647059,0,0
"TCRMP",2011,5,"Great Pond",4,30,26.4264264705882,0,0
"TCRMP",2012,5,"Great Pond",4,30,26.1690882352941,0,0
"TCRMP",2013,5,"Great Pond",4,30,26.3067058823529,0,0
"TCRMP",2014,5,"Great Pond",4,30,26.6390882352941,0,0
"TCRMP",2015,5,"Great Pond",4,30,27.2901102941176,0,0
"TCRMP",2017,5,"Great Pond",4,30,26.6568161764706,0,0
"TCRMP",2019,5,"Great Pond",4,30,26.3740441176471,0,0
"TCRMP",2020,5,"Great Pond",4,30,27.7446102941176,0,0
"TCRMP",2022,5,"Great Pond",4,30,26.9768235294118,0,0
"TCRMP",2023,5,"Great Pond",4,30,26.2532720588235,0,0
"TCRMP",2024,5,"Great Pond",4,30,27.7962132352941,0,0
"TCRMP",2025,5,"Great Pond",4,30,27.7511979166667,0,0
"TCRMP",2008,6,"Great Pond",4,30,26.3123235294118,0,0
"TCRMP",2009,6,"Great Pond",4,30,26.4483823529412,0,0
"TCRMP",2010,6,"Great Pond",4,30,27.6378088235294,0,0
"TCRMP",2011,6,"Great Pond",4,30,26.4494852941176,0,0
"TCRMP",2012,6,"Great Pond",4,30,26.2619191176471,0,0
"TCRMP",2013,6,"Great Pond",4,30,26.2195073529412,0,0
"TCRMP",2014,6,"Great Pond",4,30,26.2915,0,0
"TCRMP",2015,6,"Great Pond",4,30,27.2958382352941,0,0
"TCRMP",2017,6,"Great Pond",4,30,26.5790661764706,0,0
"TCRMP",2019,6,"Great Pond",4,30,26.7579117647059,0,0
"TCRMP",2020,6,"Great Pond",4,30,27.7815,0,0
"TCRMP",2022,6,"Great Pond",4,30,26.3507205882353,0,0
"TCRMP",2023,6,"Great Pond",4,30,26.2181323529412,0,0
"TCRMP",2024,6,"Great Pond",4,30,27.7264926470588,0,0
"TCRMP",2025,6,"Great Pond",4,30,27.2646666666667,0,0
"TCRMP",2008,7,"Great Pond",4,30,26.0856470588235,0,0
"TCRMP",2009,7,"Great Pond",4,30,26.0529558823529,0,0
"TCRMP",2010,7,"Great Pond",4,30,27.8076764705882,0,0
"TCRMP",2011,7,"Great Pond",4,30,26.6044558823529,0,0
"TCRMP",2012,7,"Great Pond",4,30,26.5580073529412,0,0
"TCRMP",2013,7,"Great Pond",4,30,26.0746911764706,0,0
"TCRMP",2014,7,"Great Pond",4,30,26.5075,0,0
"TCRMP",2015,7,"Great Pond",4,30,27.4732941176471,0,0
"TCRMP",2017,7,"Great Pond",4,30,27.0679411764706,0,0
"TCRMP",2019,7,"Great Pond",4,30,26.6499411764706,0,0
"TCRMP",2020,7,"Great Pond",4,30,26.9602941176471,0,0
"TCRMP",2022,7,"Great Pond",4,30,26.4581911764706,0,0
"TCRMP",2023,7,"Great Pond",4,30,26.4811102941176,0,0
"TCRMP",2024,7,"Great Pond",4,30,27.7327647058824,0,0
"TCRMP",2025,7,"Great Pond",4,30,27.0035104166667,0,0
"TCRMP",2008,8,"Great Pond",4,30,25.9118088235294,0,0
"TCRMP",2009,8,"Great Pond",4,30,26.2838676470588,0,0
"TCRMP",2010,8,"Great Pond",4,30,27.7855735294118,0,0
"TCRMP",2011,8,"Great Pond",4,30,26.4050588235294,0,0
"TCRMP",2012,8,"Great Pond",4,30,26.3575955882353,0,0
"TCRMP",2013,8,"Great Pond",4,30,26.1681470588235,0,0
"TCRMP",2014,8,"Great Pond",4,30,26.5556691176471,0,0
"TCRMP",2015,8,"Great Pond",4,30,27.4810514705882,0,0
"TCRMP",2017,8,"Great Pond",4,30,27.0726985294118,0,0
"TCRMP",2019,8,"Great Pond",4,30,26.53825,0,0
"TCRMP",2020,8,"Great Pond",4,30,27.2586029411765,0,0
"TCRMP",2022,8,"Great Pond",4,30,26.6330441176471,0,0
"TCRMP",2023,8,"Great Pond",4,30,26.1318602941176,0,0
"TCRMP",2024,8,"Great Pond",4,30,27.5920220588235,0,0
"TCRMP",2025,8,"Great Pond",4,30,27.1259583333333,0,0
"TCRMP",2008,9,"Great Pond",4,30,25.9691470588235,0,0
"TCRMP",2009,9,"Great Pond",4,30,26.1448823529412,0,0
"TCRMP",2010,9,"Great Pond",4,30,28.1176176470588,0,0
